"Accommodation establishments capacity, tourist arrivals and overnight stays by YEAR, TOURIST ACCOMMODATION ESTABLISHMENT and MEASURES",,,,,
,,,,,
,,Tourist arrivals - TOTAL,Tourist arrivals - domestic,Tourist arrivals - foreign,Overnight stays - TOTAL
2010,0 Tourist accommodation establishment - TOTAL,3299537,1250556,2048981,9883920
,1 Hotels and similar accommodation establishments,2148268,650406,1497862,6159794
,2 Camping sites,380172,160845,219327,1249806
,3 Other accommodation establishments,771097,439305,331792,2474320
2011,0 Tourist accommodation establishment - TOTAL,3535794,1299637,2236157,10413012
,1 Hotels and similar accommodation establishments,2290821,682687,1608133,6509232
,2 Camping sites,424323,169539,254784,1366968
,3 Other accommodation establishments,820650,447410,373240,2536812
2012,0 Tourist accommodation establishment - TOTAL,3635688,1259036,2376651,10604352
,1 Hotels and similar accommodation establishments,2330971,651494,1679477,6526045
,2 Camping sites,427758,166417,261341,1395519
,3 Other accommodation establishments,876959,441125,435834,2682789
2013,0 Tourist accommodation establishment - TOTAL,3746106,1244424,2501682,10708408
,1 Hotels and similar accommodation establishments,2370659,637798,1732861,6516517
,2 Camping sites,432474,165147,267328,1398087
,3 Other accommodation establishments,942973,441479,501493,2793804
2014,0 Tourist accommodation establishment - TOTAL,3901563,1226492,2675071,10738766
,1 Hotels and similar accommodation establishments,2509949,650282,1859668,6577092
,2 Camping sites,403874,144308,259565,1308068
,3 Other accommodation establishments,987740,431902,555838,2853607
2015,0 Tourist accommodation establishment - TOTAL,4373878,1351860,3022018,11653764
,1 Hotels and similar accommodation establishments,2733166,695692,2037474,6938840
,2 Camping sites,459243,167526,291718,1452748
,3 Other accommodation establishments,1181469,488642,692827,3262175
2016,0 Tourist accommodation establishment - TOTAL,4834071,1437198,3396873,12647876
,1 Hotels and similar accommodation establishments,2980525,727185,2253340,7484815
,2 Camping sites,497375,180879,316496,1510973
,3 Other accommodation establishments,1356171,529135,827037,3652088
2017,0 Tourist accommodation establishment - TOTAL,5503284,1512602,3990682,14208545
,1 Hotels and similar accommodation establishments,3315531,778584,2536946,8134661
,2 Camping sites,601912,180917,420995,1830805
,3 Other accommodation establishments,1585841,553101,1032740,4243079
2018,0 Tourist accommodation establishment - TOTAL,5933266,1508128,4425139,15694705
,1 Hotels and similar accommodation establishments,3366707,747393,2619314,8342743
,2 Camping sites,648149,176512,471637,1934060
,3 Other accommodation establishments,1918411,584223,1334187,5417902
2019,0 Tourist accommodation establishment - TOTAL,6229573,1527695,4701878,15775331
,1 Hotels and similar accommodation establishments,3515411,757213,2758198,8263114
,2 Camping sites,713912,185978,527934,2037068
,3 Other accommodation establishments,2000250,584504,1415746,5475149
2020,0 Tourist accommodation establishment - TOTAL,3065085,1848971,1216114,9204374
,1 Hotels and similar accommodation establishments,1488361,848861,639500,4177459
,2 Camping sites,450474,259742,190732,1419250
,3 Other accommodation establishments,1126250,740368,385882,3607665
2021,0 Tourist accommodation establishment - TOTAL,4003682,2171236,1832446,11251158
,1 Hotels and similar accommodation establishments,1967270,1086357,880913,5232813
,2 Camping sites,602328,253732,348596,1776279
,3 Other accommodation establishments,1434084,831147,602937,4242066
2022,0 Tourist accommodation establishment - TOTAL,5868138,1932506,3935632,15581856
,1 Hotels and similar accommodation establishments,3041400,986484,2054916,7522378
,2 Camping sites,821964,223225,598739,2353004
,3 Other accommodation establishments,2004774,722797,1281977,5706474
2023,0 Tourist accommodation establishment - TOTAL,6192804,1534509,4658295,16125027
,1 Hotels and similar accommodation establishments,3279899,781515,2498384,7900423
,2 Camping sites,790786,182718,608068,2248857
,3 Other accommodation establishments,2122119,570276,1551843,5975747
2024,0 Tourist accommodation establishment - TOTAL,6583274,1529738,5053536,16853075
,1 Hotels and similar accommodation establishments,3518499,770170,2748329,8322367
,2 Camping sites,834249,194145,640104,2370336
,3 Other accommodation establishments,2230526,565423,1665103,6160372
